Run,SVM Latency (seconds),DistilBERT Latency (seconds)
1,0.017961740493774414,1.0264322757720947
2,0.016201496124267578,0.704632043838501
3,0.018180370330810547,0.684894323348999
4,0.009998798370361328,0.7239847183227539
5,0.015002012252807617,0.5828406810760498
6,0.012871503829956055,0.690518856048584
7,0.008962392807006836,0.36824941635131836
8,0.012014389038085938,0.5276715755462646
9,0.013924360275268555,0.7294130325317383
10,0.021076679229736328,0.7146015167236328
11,0.016332149505615234,0.675267219543457
12,0.010555505752563477,0.6261167526245117
13,0.007985830307006836,0.06254053115844727
14,0.009999275207519531,0.7092678546905518
15,0.009990215301513672,0.6107997894287109
16,0.008997201919555664,0.6143524646759033
17,0.010440587997436523,0.10675764083862305
18,0.008999824523925781,0.767756462097168
19,0.014948129653930664,0.6753771305084229
20,0.016335487365722656,0.7244129180908203
21,0.01200556755065918,0.5561928749084473
22,0.0106964111328125,0.051949262619018555
23,0.01100611686706543,0.6950545310974121
24,0.011991024017333984,0.24269771575927734
25,0.00938105583190918,0.2829294204711914
26,0.008008003234863281,0.22541594505310059
27,0.009994268417358398,0.6010198593139648
28,0.010000467300415039,0.12958860397338867
29,0.010680913925170898,0.11655950546264648
30,0.008992671966552734,0.8298871517181396
31,0.011156320571899414,0.47435593605041504
32,0.014077186584472656,1.1660239696502686
33,0.012995719909667969,1.064180850982666
34,0.010516643524169922,0.03443121910095215
35,0.013233423233032227,0.6957838535308838
36,0.012999296188354492,0.6389377117156982
37,0.00897216796875,0.8002936840057373
38,0.011939287185668945,0.6520135402679443
39,0.012352705001831055,0.49172282218933105
40,0.011009454727172852,0.2523176670074463
41,0.009023666381835938,0.6650590896606445
42,0.015516042709350586,0.7182252407073975
43,0.0159456729888916,0.716916561126709
44,0.015564680099487305,0.6927311420440674
45,0.013516902923583984,0.7952680587768555
46,0.011001825332641602,0.6401515007019043
47,0.011994123458862305,0.5319221019744873
48,0.013782739639282227,0.668175220489502
49,0.017213821411132812,0.6231470108032227
50,0.008536577224731445,0.32949304580688477
