user_id,timestamp,human_score,svm_score,bert_score,difficulty,reason,articles_preview
7ddc5921,2026-03-11 16:22:47,3,3,3,3,because they all seemed legit ,WASHINGTON (Reuters) - The Trump administration no | 21st Century Wire says In the old days this scand | WASHINGTON (Reuters) - President Donald Trump aske
ca910760,2026-03-11 16:25:30,1,3,3,7,Because i thought they were correct, As Americans we insist that no one should be targ | WASHINGTON (Reuters) - U.S. Democratic presidentia | JAKARTA (Reuters) - Indonesian authorities have un
303776e4,2026-03-13 11:34:58,3,3,3,7,Because they seemed legit i guess ,If there s one thing that s certain about Donald T | BERLIN (Reuters) - The German parties exploring a  | WASHINGTON (Reuters) - A Republican plan to repeal
ad7eed03,2026-03-13 12:05:57,2,3,3,10,the sensational wording but i did struggle,The bitter battle for the presidency is over. Demo | This is so sad and such a lesson for the world Ven | BOZEMAN Mont. (Reuters) - Republican Greg Gianfor
ef3fbd82,2026-03-13 12:59:13,3,3,3,9,the hints lol,WASHINGTON (Reuters) - The U.S. Senate on Thursday | You know how conservatives are constantly screamin | BANGKOK (Reuters) - A roadside bomb planted by sus
de1aea53,2026-03-13 13:11:59,1,3,3,7,your hints cause it was hard,All you have to do is listen to Clapper lie before | Blackmail is a crime. It s time to impeach Donald  | One of Trump s biggest campaign promises was to cr
8b5c683c,2026-03-13 13:12:03,3,3,3,2,hint,The accusations surrounding Bill O Reilly have bee | WASHINGTON (Reuters) - The White House excluded se | (Reuters) - Nine U.S. senators from states that ha
741a826d,2026-03-13 13:31:28,2,3,3,7,most of the language was dramatic and seemed quite obvious,First Lady Melania Trump visits HomeSafe  photo vi | GUATEMALA CITY (Reuters) - Guatemalan President Ji | What happened to free speech? The left is trying t
